index,path,line,rule_id,message,false_positive,verdict,confidence,file_accessed,reason,line_text
76,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/bindings/python/pypdfsuit/redact.py,71,repeated_json_dumps_same_object,function apply_redactions calls json.dumps(redactions) multiple times; cache the result in a local variable,true,FALSE_POSITIVE,medium,true,Only one json.dumps(...) call is visible near the flagged line.,"redactions_json = json.dumps(redactions).encode(""utf-8"")"
81,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/bindings/python/pypdfsuit/redact.py,123,repeated_json_dumps_same_object,function apply_redactions_advanced calls json.dumps(options) multiple times; cache the result in a local variable,true,FALSE_POSITIVE,medium,true,Only one json.dumps(...) call is visible near the flagged line.,"options_json = json.dumps(options).encode(""utf-8"")"
231,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/bindings/python/tests/test_integration.py,55,repeated_json_dumps_same_object,function _generate_pdf_from_dict calls json.dumps(template_dict) multiple times; cache the result in a local variable,true,FALSE_POSITIVE,medium,true,Only one json.dumps(...) call is visible near the flagged line.,"template_json = json.dumps(template_dict).encode(""utf-8"")"
313,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,181,large_h_payload_built_only_for_json_response,function handleGetTemplateData builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Missing 'file' query parameter""})"
321,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,230,large_h_payload_built_only_for_json_response,function handleUploadFont builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""No font file provided""})"
333,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,276,large_h_payload_built_only_for_json_response,function handleGenerateTemplatePDF builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (2 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Failed to read request data: "" + err.Error()})"
348,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,360,large_h_payload_built_only_for_json_response,function handleMergePDFs builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (2 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Invalid multipart form: "" + err.Error()})"
362,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,405,large_h_payload_built_only_for_json_response,function handlerSplitPDF builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (2 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Missing pdf file: "" + err.Error()})"
382,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,484,large_h_payload_built_only_for_json_response,function handleHTMLToPDF builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (2 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Failed to read request data: "" + err.Error()})"
396,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,542,large_h_payload_built_only_for_json_response,function handleHTMLToImage builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (2 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""Failed to read request data: "" + err.Error()})"
410,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,60,large_h_payload_built_only_for_json_response,function HandleRedactPageInfo builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""pdf file is required""})"
418,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,99,large_h_payload_built_only_for_json_response,function HandleRedactCapabilities builds a large dynamic map payload for JSON rendering,true,FALSE_POSITIVE,medium,true,Map literal appears small (1 keys) near the flagged location.,"c.JSON(http.StatusBadRequest, gin.H{""error"": ""pdf file is required""})"
